id,title,price_raw,price,price_original_raw,price_original,discount_percent,url,image_small,image_large,description,promo_type,scrape_date
6235,AVENEHyaluron Activ B3 Serum Concentre Repulpant 30ML,"145,000TND",145.0,"181,000TND",181.0,20.0,https://beautystore.tn/promos/6235-hyaluron-activ-b3-serum-concentre-repulpant-30ml-3282770153101.html,https://beautystore.tn/27600-home_default/hyaluron-activ-b3-serum-concentre-repulpant-30ml.jpg,https://beautystore.tn/27600-large_default/hyaluron-activ-b3-serum-concentre-repulpant-30ml.jpg,"Le sérum concentré en acide hyaluronique pur (1,5%) et niacinamide (6%) pour agir sur la cause du vieillissement. La peau est plus ferme, les rides sont corrigées.",Standard,2025-11-24
6234,"AVENEConcentré Anti-Imperfections Cleanance ""COMEDOMED""  30ml","61,900TND",61.9,"77,400TND",77.4,20.0,https://beautystore.tn/promos/6234-concentré-anti-imperfections-cleanance-comedomed-30ml-3282770390414.html,https://beautystore.tn/27594-home_default/concentré-anti-imperfections-cleanance-comedomed-30ml.jpg,https://beautystore.tn/27594-large_default/concentré-anti-imperfections-cleanance-comedomed-30ml.jpg,Le concentré anti-imperfections Cleanance Comedomed réduit l'apparence des taches et des points noirs et limite leur réapparition. Prescrit par les dermatologues,Standard,2025-11-24
6233,"AVENESpray Asséchant Réparateur ""Cicalfate+"" 100ml","55,900TND",55.9,"69,900TND",69.9,20.0,https://beautystore.tn/promos/6233-spray-asséchant-réparateur-cicalfate-100ml-3282770205633.html,https://beautystore.tn/27591-home_default/spray-asséchant-réparateur-cicalfate-100ml.jpg,https://beautystore.tn/27591-large_default/spray-asséchant-réparateur-cicalfate-100ml.jpg,Assèche et répare les zones irritées et humides. Assainit la peau et contribue à limiter la prolifération bactérienne. Ne se substitue pas à un antiseptique.,Standard,2025-11-24
6232,"AVENECrème Réparatrice Multi-protectrice ""Cicalfate+ SPF50+"" 30ml","55,000TND",55.0,"68,750TND",68.75,20.0,https://beautystore.tn/promos/6232-crème-réparatrice-multi-protectrice-cicalfate-spf50-30ml-3282770394467.html,https://beautystore.tn/27588-home_default/crème-réparatrice-multi-protectrice-cicalfate-spf50-30ml.jpg,https://beautystore.tn/27588-large_default/crème-réparatrice-multi-protectrice-cicalfate-spf50-30ml.jpg,"Le seul soin réparateur et protecteur des peaux irritées exposées au soleil, très large spectre UVB + UVA + Lumière bleue HEV, pour une meilleure efficacité contre les marques. Limite les risques d'hyperpigmentation et de marques cicatricielles. Pour nourrissons, enfants et adultes. Visage et corps. Un complexe anti-marques cicatricielles qui prévient et réduit le développement des marques et de l'hyperpigmentation.",Standard,2025-11-24
6231,AVENEGelée Gommante Douceur 75ml,"38,900TND",38.9,"48,600TND",48.6,20.0,https://beautystore.tn/promos/6231-gelée-gommante-douceur-75ml-3282770152586.html,https://beautystore.tn/27585-home_default/gelée-gommante-douceur-75ml.jpg,https://beautystore.tn/27585-large_default/gelée-gommante-douceur-75ml.jpg,"Le gel exfoliant doux Avène contient des billes de cellulose et de la cire de jojoba, sélectionnées pour leur extrême tolérance, assurant un gommage mécanique efficace et une élimination douce des cellules mortes",Standard,2025-11-24
6230,"AVENECrème Mains Réparatrice Isolante ""Cicalfate"" 100ml","36,900TND",36.9,"45,900TND",45.9,20.0,https://beautystore.tn/promos/6230-crème-mains-réparatrice-isolante-cicalfate-100ml-3282779416139.html,https://beautystore.tn/27579-home_default/crème-mains-réparatrice-isolante-cicalfate-100ml.jpg,https://beautystore.tn/27579-large_default/crème-mains-réparatrice-isolante-cicalfate-100ml.jpg,"Ce soin réconfortant enveloppe et soulage les mains très sèches, gercées et fendillées (les peaux fissurées), sans coller.",Standard,2025-11-24
6229,"AVENEUV légère ""Hydrance SPF30"" 40ml","49,900TND",49.9,"62,400TND",62.4,20.0,https://beautystore.tn/promos/6229-uv-légère-hydrance-spf30-40ml-3282770208788.html,https://beautystore.tn/27576-home_default/uv-légère-hydrance-spf30-40ml.jpg,https://beautystore.tn/27576-large_default/uv-légère-hydrance-spf30-40ml.jpg,"Une émulsion hydratante SPF 30, anti-UV, légère, qui laisse la peau hydratée, souple et protégée durant toute la journée.",Standard,2025-11-24
6228,"AVENEUV Riche ""Hydrance SPF30"" 40ml","50,900TND",50.9,"63,600TND",63.6,20.0,https://beautystore.tn/promos/6228-uv-riche-hydrance-spf30-40ml-3282770208795.html,https://beautystore.tn/27571-home_default/uv-riche-hydrance-spf30-40ml.jpg,https://beautystore.tn/27571-large_default/uv-riche-hydrance-spf30-40ml.jpg,"AVENE Hydrance UV Riche SPF 30 est un soin hydratant et protecteur formulé pour les peaux sensibles, sèches à très sèches. Sa formule riche et onctueuse, enrichie en Eau thermale d’AVENE et en beurre de karité, nourrit intensément votre peau tout en la protégeant des agressions extérieures. Grâce à sa protection solaire SPF 30 et à ses propriétés apaisantes, elle offre un confort optimal et un teint lumineux.",Standard,2025-11-24
6227,AVENECleanance Eau Micellaire 400ml,"49,900TND",49.9,"62,400TND",62.4,20.0,https://beautystore.tn/promos/6227-cleanance-eau-micellaire-400ml-3282770390315.html,https://beautystore.tn/27570-home_default/cleanance-eau-micellaire-400ml.jpg,https://beautystore.tn/27570-large_default/cleanance-eau-micellaire-400ml.jpg,"Eau micellaire naturelle à l'efficacité nettoyante renforcée pour nettoyer, purifier et matifier les peaux mixtes, grasses, à tendance acnéique.",Standard,2025-11-24
6226,"AVENESérum Correcteur Eclat ""Vitamin Activ Cg""  30ml","145,000TND",145.0,"181,000TND",181.0,20.0,https://beautystore.tn/promos/6226-sérum-correcteur-eclat-vitamin-activ-cg-30ml-3282770393477.html,https://beautystore.tn/27549-home_default/sérum-correcteur-eclat-vitamin-activ-cg-30ml.jpg,https://beautystore.tn/27549-large_default/sérum-correcteur-eclat-vitamin-activ-cg-30ml.jpg,"Ce sérum visage lisse les rides, booste l’éclat de la peau et diminue l’apparence des taches brunes grâce au trio d’actifs [Vitamine Cg* + Bakuchiol + Niacinamide].",Standard,2025-11-24
6225,NUXESuper Sérum [10] 30ml,"244,900TND",244.9,"306,000TND",306.0,20.0,https://beautystore.tn/promos/6225-super-sérum-10-30ml-3264680023323.html,https://beautystore.tn/27548-home_default/super-sérum-10-30ml.jpg,https://beautystore.tn/27548-large_default/super-sérum-10-30ml.jpg,"Le Super Serum 10 de NUXE est un sérum à l'acide hyaluronique pour la correction des rides, fermeté, taches. Il est infusé de milliers de micro-billes d‘Huiles Végétales fractionnées. Il stimule les mécanismes de jeunesse de la peau pour une extraordinaire efficacité anti-âge. Dès les 1ères gouttes, la peau est comme transformée : lissée, repulpée et lumineuse.",Standard,2025-11-24
