id,title,brand,reference,price_raw,price,price_original_raw,price_original,discount_percent,url,image_small,image_large,description,promo_type,scrape_date
,12.12 Rose Eau de Parfum pour Femme 50 ml - Lacoste,Lacoste,3614228836067,"200,000 TND",200.0,"229,000 TND",229.0,29.0,https://cosmetique.tn/eaux-de-parfum-femme-prestige-/6851-1212-rose-eau-de-parfum-pour-femme-50-ml-lacoste.html,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20236%20305'%3E%3C/svg%3E",https://cosmetique.tn/16886-thickbox_default/1212-rose-eau-de-parfum-pour-femme-50-ml-lacoste.jpg,"Notes de tête : Essence de Mandarine verte, Essence de Menthe
Notes de cœur : Frangipane, Rose, Musc
Notes de fond : Ambrette, Ambrox, Bois de Cèdre",Standard,2025-11-24
,Amber original parfum corps 250ml -lolita bonita,Lolita Bonita,0710535093773,"45,000 TND",45.0,"62,000 TND",62.0,17.0,https://cosmetique.tn/brume-de-corps/3169-lolita-bonita-parfum-corps-amber-250ml-femmes.html,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20236%20305'%3E%3C/svg%3E",https://cosmetique.tn/7497-thickbox_default/lolita-bonita-parfum-corps-amber-250ml-femmes.jpg,"Mystérieux
Extravagant
Unique
Offrez-vous Ambrosia l'élixir de la déesse grecque. Découvrez le nectar délicat des sens ravis, et ressentez le mystère et l'extravagance des fleurs les plus douces. 
Cette touche de corps séduisante laissera une étreinte opulente et une romance diluée pendant votre journée, grâce à la cascade de fleurs roses et blanches...",Standard,2025-11-24
,Aquaruboril solution micellaire démaquillante apaisante  peaux sensibles à rougeurs...,ISISPHARMA,3401360147751,"22,500 TND",22.5,"32,900 TND",32.9,10.4,https://cosmetique.tn/eau-micellaire/1938-aquaruboril-solution-micellaire-demaquillante-peaux-sensibles-a-rougeurs-250ml-isispharma-.html,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20236%20305'%3E%3C/svg%3E",https://cosmetique.tn/5249-thickbox_default/aquaruboril-solution-micellaire-demaquillante-peaux-sensibles-a-rougeurs-250ml-isispharma-.jpg,"ISISPHARMA 
Aquaruboril 
Solution Micellaire Démaquillante Apaisante
Peaux sensibles à rougeurs 
Nettoie 
Visage et yeux 
250ml 

Nettoyez et démaquillez efficacement votre peau sensible à rougeurs avec la solution micellaire AQUARUBORIL® !
Les rougeurs et les petits vaisseaux apparents caractérisent les peaux sensibles à rougeurs. Elles ont besoin d’un...",Standard,2025-11-24
,Avene - Sunsimed Pigment  Blue Light SPF50+ 80ML,Avene,3282770392791,"88,000 TND",88.0,"90,300 TND",90.3,2.3,https://cosmetique.tn/ecrans-solaires-invisible/9448-avene-sunsimed-pigment-blue-light-spf50-80ml.html,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20236%20305'%3E%3C/svg%3E",https://cosmetique.tn/22022-thickbox_default/avene-sunsimed-pigment-blue-light-spf50-80ml.jpg,"Sunsimed Pigment est un dispositif médical très haute protection SPF50+ qui contribue à prévenir le photo-vieillissement, l'apparition de taches pigmentaires et les lésions d'ADN photo-induites.",Standard,2025-11-24
,Avene Haute Protection Spf50 Compact  Teinte Beige Sable10G,Avene,3282770100228,"63,000 TND",63.0,"71,400 TND",71.4,8.4,https://cosmetique.tn/ecrans-solaires-teintes/9450-avene-haute-protection-spf50-compact-teinte-beige-sable10g.html,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20236%20305'%3E%3C/svg%3E",https://cosmetique.tn/22568-thickbox_default/avene-haute-protection-spf50-compact-teinte-beige-sable10g.jpg,"Une haute protection solaire et un maquillage des peaux intolérantes aux filtres chimiques et aux parfums. Une large protection UVB-UVA, 100% minéral, sans parfum.",Standard,2025-11-24
,Avène Hydrance UV Légère Émulsion Hydratante SPF30 40 ml,Avene,3282770208788,"47,000 TND",47.0,"52,000 TND",52.0,5.0,https://cosmetique.tn/hydratants-peaux-normales-a-mixtes/3862-avene-hydrance-uv-legere-emulsion-hydratante-spf30-40-ml.html,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20236%20305'%3E%3C/svg%3E",https://cosmetique.tn/8772-thickbox_default/avene-hydrance-uv-legere-emulsion-hydratante-spf30-40-ml.jpg,"Enrichie en Eau Thermale Avène connue pour ses propriétés nourrissantes et en agents protecteurs, la Crème Riche apporte hydratation, protection et apaisement pour les peaux sensibles et sèches à très sèches. La peau est ainsi parée contre les agressions extérieures et révèle tout son confort naturel. Le SPF30 de la Crème Riche assure une protection...",Standard,2025-11-24
,Avène Physiolift Baume nuit lissant 30ml,Avene,3282770049350,"97,000 TND",97.0,"112,000 TND",112.0,15.0,https://cosmetique.tn/-creme-de-nuit-hydratant-visage/6518-physiolift-baume-nuit-lissant-30ml-avene-.html,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20236%20305'%3E%3C/svg%3E",https://cosmetique.tn/16022-thickbox_default/physiolift-baume-nuit-lissant-30ml-avene-.jpg,"Physiolift baume nuit lissant et regénérant est un soin issu de la recherche des laboratoires Avene, qui comble et lisse les rides et sillons même profonds grâce à son effet tenseur sur la peau.
Raffermit, réduit les rides installées et défatigue les traits, pour une peau plus lumineuse au réveil.
CONSEILS D'UTILISATION
Appliquez PhysioLift NUIT Baume...",Standard,2025-11-24
,Avène Physiolift Protect Crème protectrice lissante SPF30 30ml,Avene,3282770207316,"97,000 TND",97.0,"112,000 TND",112.0,15.0,https://cosmetique.tn/ecrans-solaires-invisible/6481-physiolift-protect-creme-protectrice-lissante-spf30-avene-.html,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20236%20305'%3E%3C/svg%3E",https://cosmetique.tn/15947-thickbox_default/physiolift-protect-creme-protectrice-lissante-spf30-avene-.jpg,"AVENE PHYSIOLIFT PROTECT Crème protectrice lissante SPF30 - 30ML
AVENE PHYSIOLIFT PROTECT Crème est votre restaurateur de peau quotidien : une crème quotidienne anti-UV et anti-âge dont la formule riche et onctueuse, procure un effet hydratant, protecteur et repulpant qui comble les rides et les ridules et lisse visiblement la peau.
La crème protectrice...",Standard,2025-11-24
,Avène PhysioLift Sérum lissant repulpant 30 ml,Avene,3282770110753,"112,900 TND",112.9,"124,900 TND",124.9,12.0,https://cosmetique.tn/serum-anti-age-visage/6517-avene-physiolift-serum-lissant-repulpant-30-ml.html,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20236%20305'%3E%3C/svg%3E",https://cosmetique.tn/16021-thickbox_default/avene-physiolift-serum-lissant-repulpant-30-ml.jpg,"Par son action à la fois visible et durable, ce soin sur-mesure multi-compétent atténue les signes visibles de l’âge :
REPULPE ET RAFFERMIT LA PEAU : grâce à un assemblage exclusif de microsphères d’Acide Hyaluronique à effet repulpant visible et des Mono-Oligomères d’Acide Hyaluronique pour un effet raffermissant à moyen et long terme
LISSE LES RIDES ET...",Standard,2025-11-24
,Aviator authentic for men 100ml - paris bleu,Paris Bleu,3442151009629,"63,000 TND",63.0,"71,000 TND",71.0,8.0,https://cosmetique.tn/eaux-de-parfum-homme/1480-aviator-authentic-for-men-100ml-paris-bleu-.html,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20236%20305'%3E%3C/svg%3E",https://cosmetique.tn/4526-thickbox_default/aviator-authentic-for-men-100ml-paris-bleu-.jpg,"Aviator Authentic Eau de Toilette pour Homme - 100 ml .FAMILLE FOUGÈRE : Fougère Aromatique .Un parfum rémanent, énergique et sophistiqué. L’essence même de la virilité.En tête, la Bergamote éclatante et pétillante se mêle au doux parfum des Feuilles de Violettes et de Lavande aromatique afin d’éveiller nos sens.Un cœur harmonieux de Sauge, de Géranium...",Standard,2025-11-24
