price,type,size,bathroom_count,room_count,location,category,log_price
180000.0,À Vendre,121.0,1.0,3.0,ariana,Appartements,5.2552725051033065
430000.0,À Vendre,145.0,2.0,4.0,ariana,Appartements,5.633468455579586
690.0,À Louer,75.0,1.0,2.0,sousse,Bureaux et Plateaux,2.838849090737255
1700.0,À Louer,90.0,1.0,2.0,sousse,Appartements,3.230448921378274
240000.0,À Vendre,94.0,2.0,2.0,sousse,Appartements,5.380211241711606
5000.0,À Louer,220.0,4.0,6.0,tunis,Bureaux et Plateaux,3.6989700043360187
7800.0,À Louer,333.0,4.0,8.0,tunis,Bureaux et Plateaux,3.8920946026904804
250000.0,À Vendre,100.0,1.0,1.0,nabeul,Appartements,5.3979400086720375
1400.0,À Louer,100.0,1.0,3.0,ariana,Bureaux et Plateaux,3.146128035678238
1200.0,À Louer,70.0,1.0,1.0,ariana,Appartements,3.0791812460476247
190000.0,À Vendre,100.0,1.0,2.0,ariana,Appartements,5.278753600952829
2000.0,À Louer,250.0,4.0,4.0,sousse,Maisons et Villas,3.3010299956639813
1650.0,À Louer,130.0,1.0,2.0,ariana,Appartements,3.2174839442139063
1000.0,À Louer,100.0,1.0,2.0,ariana,Appartements,3.0
1700.0,À Louer,70.0,1.0,1.0,tunis,Appartements,3.230448921378274
250000.0,À Vendre,100.0,2.0,2.0,sousse,Appartements,5.3979400086720375
135000.0,À Vendre,90.0,1.0,2.0,sousse,Appartements,5.1303337684950066
235000.0,À Vendre,126.0,1.0,2.0,sousse,Appartements,5.371067862271736
230640.0,À Vendre,76.0,1.0,2.0,sousse,Appartements,5.362934629380152
290000.0,À Vendre,90.0,1.0,1.0,sousse,Appartements,5.4623979978989565
840000.0,À Vendre,519.0,3.0,4.0,sousse,Maisons et Villas,5.924279286061882
1600.0,À Louer,60.0,1.0,1.0,tunis,Bureaux et Plateaux,3.2041199826559246
7500.0,À Louer,250.0,4.0,3.0,tunis,Bureaux et Plateaux,3.8750612633917
500.0,À Louer,100.0,1.0,2.0,ariana,Appartements,2.6989700043360187
6000.0,À Louer,400.0,3.0,7.0,tunis,Bureaux et Plateaux,3.7781512503836434
295000.0,À Vendre,72.0,1.0,1.0,tunis,Appartements,5.469822015978163
385000.0,À Vendre,120.0,2.0,2.0,ariana,Appartements,5.585460729508501
1900.0,À Louer,135.0,2.0,2.0,tunis,Appartements,3.278753600952829
3900.0,À Louer,300.0,4.0,8.0,tunis,Bureaux et Plateaux,3.591064607026499
2800.0,À Louer,150.0,3.0,3.0,tunis,Maisons et Villas,3.4471580313422194
4500.0,À Louer,120.0,2.0,3.0,tunis,Appartements,3.6532125137753435
3900.0,À Louer,600.0,3.0,8.0,tunis,Bureaux et Plateaux,3.591064607026499
12500.0,À Louer,900.0,6.0,9.0,tunis,Maisons et Villas,4.096910013008056
1190000.0,À Vendre,230.0,3.0,3.0,tunis,Appartements,6.075546961392531
10000.0,À Louer,450.0,3.0,7.0,tunis,Maisons et Villas,4.0
5900.0,À Louer,650.0,4.0,8.0,tunis,Maisons et Villas,3.7708520116421442
600000.0,À Vendre,103.0,1.0,2.0,tunis,Maisons et Villas,5.778151250383644
3300.0,À Louer,290.0,2.0,5.0,tunis,Bureaux et Plateaux,3.5185139398778875
3500.0,À Louer,300.0,3.0,7.0,tunis,Maisons et Villas,3.5440680443502757
3900.0,À Louer,450.0,3.0,6.0,tunis,Bureaux et Plateaux,3.591064607026499
840000.0,À Vendre,180.0,3.0,3.0,tunis,Maisons et Villas,5.924279286061882
899.0,À Louer,80.0,1.0,1.0,tunis,Appartements,2.9537596917332287
1300000.0,À Vendre,292.0,5.0,7.0,ariana,Maisons et Villas,6.113943352306837
1200.0,À Louer,73.0,1.0,1.0,ariana,Appartements,3.0791812460476247
1700.0,À Louer,80.0,1.0,1.0,tunis,Appartements,3.230448921378274
1250.0,À Louer,110.0,1.0,2.0,tunis,Appartements,3.0969100130080562
280000.0,À Vendre,92.0,1.0,1.0,tunis,Appartements,5.447158031342219
680000.0,À Vendre,400.0,3.0,6.0,tunis,Maisons et Villas,5.832508912706237
1250.0,À Louer,100.0,1.0,2.0,tunis,Appartements,3.0969100130080562
297000.0,À Vendre,93.0,1.0,2.0,ariana,Appartements,5.472756449317212
120000.0,À Vendre,100.0,2.0,4.0,la manouba,Maisons et Villas,5.079181246047625
8500.0,À Louer,350.0,4.0,6.0,tunis,Bureaux et Plateaux,3.929418925714293
500.0,À Louer,150.0,1.0,2.0,sfax,Maisons et Villas,2.6989700043360187
750.0,À Louer,80.0,1.0,1.0,tunis,Appartements,2.8750612633917
325000.0,À Vendre,135.0,1.0,3.0,ariana,Appartements,5.511883360978874
600.0,À Louer,90.0,1.0,2.0,tunis,Appartements,2.7781512503836434
169999.0,À Vendre,101.0,2.0,3.0,ariana,Appartements,5.230446366697337
270000.0,À Vendre,94.0,1.0,2.0,tunis,Appartements,5.431363764158987
269999.0,À Vendre,94.0,1.0,2.0,tunis,Appartements,5.4313621556579275
390000.0,À Vendre,140.0,2.0,5.0,tunis,Maisons et Villas,5.5910646070264995
700.0,À Louer,90.0,2.0,3.0,ben arous,Appartements,2.845098040014257
290000.0,À Vendre,145.0,2.0,3.0,sfax,Appartements,5.4623979978989565
680000.0,À Vendre,400.0,3.0,6.0,ariana,Maisons et Villas,5.832508912706237
1200.0,À Louer,95.0,1.0,2.0,tunis,Bureaux et Plateaux,3.0791812460476247
310000.0,À Vendre,260.0,3.0,5.0,tunis,Maisons et Villas,5.491361693834273
1000.0,À Louer,130.0,2.0,4.0,ben arous,Appartements,3.0
325000.0,À Vendre,135.0,1.0,3.0,tunis,Appartements,5.511883360978874
297000.0,À Vendre,93.0,1.0,2.0,tunis,Appartements,5.472756449317212
350.0,À Louer,100.0,2.0,4.0,ben arous,Maisons et Villas,2.5440680443502757
180000.0,À Vendre,100.0,1.0,2.0,monastir,Appartements,5.2552725051033065
170000.0,À Vendre,75.0,1.0,2.0,monastir,Appartements,5.230448921378274
2500.0,À Louer,150.0,2.0,3.0,nabeul,Maisons et Villas,3.3979400086720375
310000.0,À Vendre,74.0,1.0,2.0,tunis,Appartements,5.491361693834273
1150.0,À Louer,97.0,1.0,1.0,tunis,Appartements,3.060697840353612
398000.0,À Vendre,105.0,1.0,2.0,nabeul,Appartements,5.599883072073688
899000.0,À Vendre,490.0,2.0,4.0,nabeul,Maisons et Villas,5.953759691733229
1600.0,À Louer,96.0,2.0,2.0,tunis,Appartements,3.2041199826559246
2200.0,À Louer,200.0,1.0,4.0,tunis,Bureaux et Plateaux,3.342422680822206
1200.0,À Louer,140.0,2.0,3.0,sousse,Appartements,3.0791812460476247
545000.0,À Vendre,400.0,2.0,3.0,ben arous,Maisons et Villas,5.7363965022766426
1300.0,À Louer,135.0,1.0,2.0,tunis,Bureaux et Plateaux,3.113943352306837
1200.0,À Louer,115.0,2.0,2.0,tunis,Appartements,3.0791812460476247
1150000.0,À Vendre,500.0,3.0,7.0,tunis,Maisons et Villas,6.060697840353612
420000.0,À Vendre,110.0,3.0,2.0,tunis,Maisons et Villas,5.623249290397901
900.0,À Louer,78.0,2.0,2.0,tunis,Bureaux et Plateaux,2.9542425094393248
180000.0,À Vendre,90.0,1.0,2.0,tunis,Appartements,5.2552725051033065
398000.0,À Vendre,102.0,1.0,1.0,nabeul,Appartements,5.599883072073688
168000.0,À Vendre,120.0,1.0,2.0,ariana,Appartements,5.225309281725863
5500.0,À Louer,350.0,2.0,1.0,ariana,Bureaux et Plateaux,3.7403626894942437
230000.0,À Vendre,91.0,1.0,2.0,tunis,Appartements,5.361727836017593
1000.0,À Louer,125.0,1.0,4.0,ben arous,Appartements,3.0
1100.0,À Louer,120.0,1.0,2.0,ariana,Appartements,3.041392685158225
4000.0,À Louer,500.0,3.0,3.0,tunis,Maisons et Villas,3.6020599913279625
1050.0,À Louer,75.0,1.0,1.0,ariana,Appartements,3.0211892990699383
900.0,À Louer,120.0,1.0,2.0,ariana,Appartements,2.9542425094393248
750.0,À Louer,100.0,1.0,3.0,ben arous,Appartements,2.8750612633917
1850.0,À Louer,130.0,1.0,2.0,tunis,Appartements,3.2671717284030137
3000.0,À Louer,102.0,2.0,3.0,tunis,Bureaux et Plateaux,3.4771212547196626
1400.0,À Louer,135.0,1.0,3.0,tunis,Appartements,3.146128035678238
1350.0,À Louer,180.0,2.0,4.0,ben arous,Appartements,3.130333768495006
545000.0,À Vendre,250.0,2.0,8.0,tunis,Maisons et Villas,5.7363965022766426
2800.0,À Louer,80.0,2.0,1.0,tunis,Appartements,3.4471580313422194
950.0,À Louer,100.0,1.0,2.0,tunis,Appartements,2.9777236052888476
