id,title,category,price_raw,price,price_original_raw,price_original,discount_percent,url,image_small,image_large,description,promo_type,scrape_date
5584,Ahwak Eau de Parfum 100 ml Sahari,Eau de Parfum Femme,"58,812 TND",58.812,"67,600 TND",67.6,13.0,https://cherrybeauty.tn/5584-ahwak-eau-de-parfum-100-ml-sahari.html,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAICAgICAgICAgIDAgICAwQDAgIDBAQEBAQEBAQGBAUFBQUEBgYHBwcHBwYJCQoKCQkMDAwMDAwMDAwMDAwMDAz/2wBDAQIDAwUEBQkGBgkNCggKDQ8ODg4ODw8MDAwMDA8PDAwMDAwMDwwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAz/wAARCAABAAEDAREAAhEBAxEB/8QAFAABAAAAAAAAAAAAAAAAAAAACf/EABQQAQAAAAAAAAAAAAAAAAAAAAD/xAAUAQEAAAAAAAAAAAAAAAAAAAAA/8QAFBEBAAAAAAAAAAAAAAAAAAAAAP/aAAwDAQACEQMRAD8AdAH/2Q==",https://cherrybeauty.tn/9807-home_default/ahwak-eau-de-parfum-100-ml-sahari.jpg,Ahwak Eau de Parfum 100 ml Sahari,Promotion,2025-11-24
5451,Asdaaf Amerat El Arab Privé Rose – Eau de Parfum 100 ml – Dupe Delina Parfums de Marly,Eau de Parfum Femme,"60,813 TND",60.813,"69,900 TND",69.9,13.0,https://cherrybeauty.tn/5451-asdaaf-amerat-el-arab-prive-rose-eau-de-parfum-100-ml-dupe-delina-parfums-de-marly.html,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAICAgICAgICAgIDAgICAwQDAgIDBAQEBAQEBAQGBAUFBQUEBgYHBwcHBwYJCQoKCQkMDAwMDAwMDAwMDAwMDAz/2wBDAQIDAwUEBQkGBgkNCggKDQ8ODg4ODw8MDAwMDA8PDAwMDAwMDwwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAz/wAARCAABAAEDAREAAhEBAxEB/8QAFAABAAAAAAAAAAAAAAAAAAAACf/EABQQAQAAAAAAAAAAAAAAAAAAAAD/xAAUAQEAAAAAAAAAAAAAAAAAAAAA/8QAFBEBAAAAAAAAAAAAAAAAAAAAAP/aAAwDAQACEQMRAD8AdAH/2Q==",https://cherrybeauty.tn/9552-home_default/asdaaf-amerat-el-arab-prive-rose-eau-de-parfum-100-ml-dupe-delina-parfums-de-marly.jpg,Asdaaf Amerat El Arab Privé Rose – Eau de Parfum 100 ml – Dupe Delina Parfums de Marly,Promotion,2025-11-24
5450,Asdaaf Amerat El Arab – Eau de Parfum 100 ml – Dupe My Way Armani,Eau de Parfum Femme,"60,813 TND",60.813,"69,900 TND",69.9,13.0,https://cherrybeauty.tn/5450-asdaaf-amerat-el-arab-eau-de-parfum-100-ml-dupe-my-way-armani.html,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAICAgICAgICAgIDAgICAwQDAgIDBAQEBAQEBAQGBAUFBQUEBgYHBwcHBwYJCQoKCQkMDAwMDAwMDAwMDAwMDAz/2wBDAQIDAwUEBQkGBgkNCggKDQ8ODg4ODw8MDAwMDA8PDAwMDAwMDwwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAz/wAARCAABAAEDAREAAhEBAxEB/8QAFAABAAAAAAAAAAAAAAAAAAAACf/EABQQAQAAAAAAAAAAAAAAAAAAAAD/xAAUAQEAAAAAAAAAAAAAAAAAAAAA/8QAFBEBAAAAAAAAAAAAAAAAAAAAAP/aAAwDAQACEQMRAD8AdAH/2Q==",https://cherrybeauty.tn/9550-home_default/asdaaf-amerat-el-arab-eau-de-parfum-100-ml-dupe-my-way-armani.jpg,Asdaaf Amerat El Arab – Eau de Parfum 100 ml – Dupe My Way Armani,Promotion,2025-11-24
5864,Astus Candel Eau de Parfum Femme 30ml – Sensuelle et Gourmande,Eau de Parfum Femme,"12,093 TND",12.093,"13,900 TND",13.9,13.0,https://cherrybeauty.tn/5864-astus-candel-eau-de-parfum-femme-30ml-sensuelle-et-gourmande.html,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAICAgICAgICAgIDAgICAwQDAgIDBAQEBAQEBAQGBAUFBQUEBgYHBwcHBwYJCQoKCQkMDAwMDAwMDAwMDAwMDAz/2wBDAQIDAwUEBQkGBgkNCggKDQ8ODg4ODw8MDAwMDA8PDAwMDAwMDwwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAz/wAARCAABAAEDAREAAhEBAxEB/8QAFAABAAAAAAAAAAAAAAAAAAAACf/EABQQAQAAAAAAAAAAAAAAAAAAAAD/xAAUAQEAAAAAAAAAAAAAAAAAAAAA/8QAFBEBAAAAAAAAAAAAAAAAAAAAAP/aAAwDAQACEQMRAD8AdAH/2Q==",https://cherrybeauty.tn/10162-home_default/astus-candel-eau-de-parfum-femme-30ml-sensuelle-et-gourmande.jpg,Astus Candel Eau de Parfum Femme 30ml – Sensuelle et Gourmande,Promotion,2025-11-24
5853,"Astus Glow Eau de Parfum Femme 30ml – Dupe Chloé, Élégance & Douceur Florale",Eau de Parfum Femme,"12,093 TND",12.093,"13,900 TND",13.9,13.0,https://cherrybeauty.tn/5853-astus-glow-eau-de-parfum-femme-30ml-dupe-chloe-elegance-douceur-florale.html,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAICAgICAgICAgIDAgICAwQDAgIDBAQEBAQEBAQGBAUFBQUEBgYHBwcHBwYJCQoKCQkMDAwMDAwMDAwMDAwMDAz/2wBDAQIDAwUEBQkGBgkNCggKDQ8ODg4ODw8MDAwMDA8PDAwMDAwMDwwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAz/wAARCAABAAEDAREAAhEBAxEB/8QAFAABAAAAAAAAAAAAAAAAAAAACf/EABQQAQAAAAAAAAAAAAAAAAAAAAD/xAAUAQEAAAAAAAAAAAAAAAAAAAAA/8QAFBEBAAAAAAAAAAAAAAAAAAAAAP/aAAwDAQACEQMRAD8AdAH/2Q==",https://cherrybeauty.tn/10152-home_default/astus-glow-eau-de-parfum-femme-30ml-dupe-chloe-elegance-douceur-florale.jpg,"Astus Glow Eau de Parfum Femme 30ml – Dupe Chloé, Élégance & Douceur Florale",Promotion,2025-11-24
5797,"Astus Glowy Mood Eau de Parfum Pailletée 30ml – Brillance, Douceur & Élégance",Eau de Parfum Femme,"12,963 TND",12.963,"14,900 TND",14.9,13.0,https://cherrybeauty.tn/5797-astus-glowy-mood-eau-de-parfum-pailletee-30ml-brillance-douceur-elegance.html,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAICAgICAgICAgIDAgICAwQDAgIDBAQEBAQEBAQGBAUFBQUEBgYHBwcHBwYJCQoKCQkMDAwMDAwMDAwMDAwMDAz/2wBDAQIDAwUEBQkGBgkNCggKDQ8ODg4ODw8MDAwMDA8PDAwMDAwMDwwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAz/wAARCAABAAEDAREAAhEBAxEB/8QAFAABAAAAAAAAAAAAAAAAAAAACf/EABQQAQAAAAAAAAAAAAAAAAAAAAD/xAAUAQEAAAAAAAAAAAAAAAAAAAAA/8QAFBEBAAAAAAAAAAAAAAAAAAAAAP/aAAwDAQACEQMRAD8AdAH/2Q==",https://cherrybeauty.tn/10069-home_default/astus-glowy-mood-eau-de-parfum-pailletee-30ml-brillance-douceur-elegance.jpg,"Astus Glowy Mood Eau de Parfum Pailletée 30ml – Brillance, Douceur & Élégance",Promotion,2025-11-24
5861,Astus Guirez Eau de Parfum Femme 30ml – Élégance boisée et sensualité orientale,Eau de Parfum Femme,"12,093 TND",12.093,"13,900 TND",13.9,13.0,https://cherrybeauty.tn/5861-astus-guirez-eau-de-parfum-femme-30ml-elegance-boisee-et-sensualite-orientale.html,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAICAgICAgICAgIDAgICAwQDAgIDBAQEBAQEBAQGBAUFBQUEBgYHBwcHBwYJCQoKCQkMDAwMDAwMDAwMDAwMDAz/2wBDAQIDAwUEBQkGBgkNCggKDQ8ODg4ODw8MDAwMDA8PDAwMDAwMDwwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAz/wAARCAABAAEDAREAAhEBAxEB/8QAFAABAAAAAAAAAAAAAAAAAAAACf/EABQQAQAAAAAAAAAAAAAAAAAAAAD/xAAUAQEAAAAAAAAAAAAAAAAAAAAA/8QAFBEBAAAAAAAAAAAAAAAAAAAAAP/aAAwDAQACEQMRAD8AdAH/2Q==",https://cherrybeauty.tn/10159-home_default/astus-guirez-eau-de-parfum-femme-30ml-elegance-boisee-et-sensualite-orientale.jpg,Astus Guirez Eau de Parfum Femme 30ml – Élégance boisée et sensualité orientale,Promotion,2025-11-24
5879,Astus Inter Venchy Eau de Parfum Femme 30ml – Élégance et Séduction,Eau de Parfum Femme,"12,093 TND",12.093,"13,900 TND",13.9,13.0,https://cherrybeauty.tn/5879-astus-inter-venchy-eau-de-parfum-femme-30ml-elegance-et-seduction.html,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAICAgICAgICAgIDAgICAwQDAgIDBAQEBAQEBAQGBAUFBQUEBgYHBwcHBwYJCQoKCQkMDAwMDAwMDAwMDAwMDAz/2wBDAQIDAwUEBQkGBgkNCggKDQ8ODg4ODw8MDAwMDA8PDAwMDAwMDwwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAz/wAARCAABAAEDAREAAhEBAxEB/8QAFAABAAAAAAAAAAAAAAAAAAAACf/EABQQAQAAAAAAAAAAAAAAAAAAAAD/xAAUAQEAAAAAAAAAAAAAAAAAAAAA/8QAFBEBAAAAAAAAAAAAAAAAAAAAAP/aAAwDAQACEQMRAD8AdAH/2Q==",https://cherrybeauty.tn/10178-home_default/astus-inter-venchy-eau-de-parfum-femme-30ml-elegance-et-seduction.jpg,Astus Inter Venchy Eau de Parfum Femme 30ml – Élégance et Séduction,Promotion,2025-11-24
5850,Astus Jasmin Eau de Parfum 30ml – L’Essence Nostalgique de Sidi Bou Saïd,Eau de Parfum Femme,"11,223 TND",11.223,"12,900 TND",12.9,13.0,https://cherrybeauty.tn/5850-astus-jasmin-eau-de-parfum-30ml-l-essence-nostalgique-de-sidi-bou-said.html,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAICAgICAgICAgIDAgICAwQDAgIDBAQEBAQEBAQGBAUFBQUEBgYHBwcHBwYJCQoKCQkMDAwMDAwMDAwMDAwMDAz/2wBDAQIDAwUEBQkGBgkNCggKDQ8ODg4ODw8MDAwMDA8PDAwMDAwMDwwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAz/wAARCAABAAEDAREAAhEBAxEB/8QAFAABAAAAAAAAAAAAAAAAAAAACf/EABQQAQAAAAAAAAAAAAAAAAAAAAD/xAAUAQEAAAAAAAAAAAAAAAAAAAAA/8QAFBEBAAAAAAAAAAAAAAAAAAAAAP/aAAwDAQACEQMRAD8AdAH/2Q==",https://cherrybeauty.tn/10149-home_default/astus-jasmin-eau-de-parfum-30ml-l-essence-nostalgique-de-sidi-bou-said.jpg,Astus Jasmin Eau de Parfum 30ml – L’Essence Nostalgique de Sidi Bou Saïd,Promotion,2025-11-24
5834,Astus Musc Parfum 30ml – L’Esprit de la Médina & de la Mosquée Zitouna,Eau de Parfum Femme,"10,962 TND",10.962,"12,600 TND",12.6,13.0,https://cherrybeauty.tn/5834-astus-musc-parfum-30ml-l-esprit-de-la-medina-de-la-mosquee-zitouna.html,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAICAgICAgICAgIDAgICAwQDAgIDBAQEBAQEBAQGBAUFBQUEBgYHBwcHBwYJCQoKCQkMDAwMDAwMDAwMDAwMDAz/2wBDAQIDAwUEBQkGBgkNCggKDQ8ODg4ODw8MDAwMDA8PDAwMDAwMDwwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAz/wAARCAABAAEDAREAAhEBAxEB/8QAFAABAAAAAAAAAAAAAAAAAAAACf/EABQQAQAAAAAAAAAAAAAAAAAAAAD/xAAUAQEAAAAAAAAAAAAAAAAAAAAA/8QAFBEBAAAAAAAAAAAAAAAAAAAAAP/aAAwDAQACEQMRAD8AdAH/2Q==",https://cherrybeauty.tn/10133-home_default/astus-musc-parfum-30ml-l-esprit-de-la-medina-de-la-mosquee-zitouna.jpg,Astus Musc Parfum 30ml – L’Esprit de la Médina & de la Mosquée Zitouna,Promotion,2025-11-24
